weather_id,date_time,city,season,temperature_c,humidity,rain_mm,wind_speed_kmh,visibility_m,weather_condition,air_pressure_hpa
5001,Unknown,,Autumn,17.767554214932808,79,31.819510630591648,193.0000418953438,18186,Fog,1066.2033874144006
5002,2024-12-06 07:00,,Autumn,23.085095499578003,2,146.33649516533384,90.7282462887417,18186,Storm,1045.3458382199933
5003,Unknown,,Summer,-11.944526598781259,69,108.96983306902969,126.48711658805807,18186,Rain,925.3163914370028
5004,2024-07-09 15:00,,Winter,-4.14027000951155,19,137.25676892169798,107.83817414450634,18186,,1033.2177477917526
5005,2024-11-17T23:00Z,,Winter,-15.429395095287742,148,45.579219598308306,30.123712022647474,18186,,1038.7852885875259
5006,Unknown,London,Winter,-7.56341849958498,122,111.28002901298885,92.2404944264272,18186,Fog,1052.666517994942
5007,2024-03-29T19:00Z,London,Summer,-9.760189779702142,149,107.10040627852672,108.96703093779885,18186,Clear,952.6265447514819
5008,2099-13-40 25:61,London,Autumn,16.750390775211386,5,44.20349781590626,190.1499212084517,18186,Snow,1028.0595007327502
5009,Unknown,London,Summer,20.641988021165645,139,82.6224488176058,73.30781088179121,18186,Rain,1023.655691656508
5010,03/02/2024 11PM,,Autumn,55.0452678739354,29,94.11226669054429,196.01982062159556,18186,Rain,977.0620099622985
5011,Unknown,London,Spring,-12.398641760862926,26,72.16977162411976,108.46001480481688,18186,Snow,1032.7013960737615
5012,Unknown,,Autumn,27.750813914534632,67,124.07680599870191,48.493848660611505,18186,,917.339112263273
5013,Unknown,London,,43.55333420887706,5,124.93035626969842,38.33287740316156,18186,Rain,1028.7010042243976
5014,Unknown,London,,20.421731740474726,32,127.5900822452335,28.33898345204635,18186,Clear,1021.2031168425333
5015,23/01/2024 06AM,,,-7.0496712749031865,52,120.51353536472442,90.58657411469059,18186,Fog,942.1248814508176
5016,Unknown,London,Spring,-6.370479298199982,4,73.2125215795717,4.385285957784646,18186,Rain,1063.6427239039738
5017,13/02/2024 12AM,London,,-26.467225223610008,126,57.21574472235108,89.00905666297308,18186,Storm,1074.8828000525407
5018,Unknown,London,Winter,-2.510019610636647,54,124.70644255715558,197.68093843118925,18186,Clear,942.0967894507319
5019,2099-13-40 25:61,,Spring,37.01433111030421,33,73.53021878344002,134.02135914445333,18186,,915.1922168474407
